1777864605.532839 server started (26101): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1777864605.532857 on Linux 6.17.0-22-generic #22~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Mar 26 15:25:54 UTC 2
1777864605.532862 using libevent 2.1.12-stable poll
1777864605.532865 using ncurses 6.4 20240113
1777864605.533101 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1777864605.533103 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1777864605.533105 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1777864605.533107 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1777864605.533109 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1777864605.533111 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1777864605.533113 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1777864605.533115 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1777864605.533117 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1777864605.533119 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1777864605.533121 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1777864605.533123 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1777864605.533125 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1777864605.533127 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1777864605.533129 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1777864605.533131 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1777864605.533133 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1777864605.533135 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1777864605.533137 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1777864605.533139 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1777864605.533141 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1777864605.533144 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1777864605.533146 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1777864605.533148 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1777864605.533150 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1777864605.533152 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1777864605.533154 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1777864605.533156 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1777864605.533158 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1777864605.533160 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1777864605.533165 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1777864605.533167 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1777864605.533169 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1777864605.533171 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1777864605.533173 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1777864605.533175 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1777864605.533177 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1777864605.533179 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1777864605.533181 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1777864605.533183 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1777864605.533187 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1777864605.533189 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1777864605.533192 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1777864605.533194 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1777864605.533196 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1777864605.533198 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1777864605.533200 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1777864605.533202 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1777864605.533204 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1777864605.533206 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1777864605.533208 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1777864605.533211 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1777864605.533213 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1777864605.533215 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1777864605.533217 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1777864605.533219 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1777864605.533221 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1777864605.533223 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1777864605.533225 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1777864605.533227 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1777864605.533229 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1777864605.533231 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1777864605.533233 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1777864605.533235 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1777864605.533237 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1777864605.533240 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1777864605.533242 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1777864605.533244 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1777864605.533246 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1777864605.533248 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1777864605.533250 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1777864605.533252 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1777864605.533254 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1777864605.533256 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1777864605.533258 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1777864605.533260 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1777864605.533262 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1777864605.533264 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1777864605.533267 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1777864605.533269 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1777864605.533271 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1777864605.533273 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1777864605.533275 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1777864605.533277 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1777864605.533279 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1777864605.533283 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1777864605.533286 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1777864605.533288 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1777864605.533290 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1777864605.533292 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1777864605.533294 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1777864605.533296 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1777864605.533298 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1777864605.533302 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1777864605.533304 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1777864605.533306 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1777864605.533308 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1777864605.533310 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1777864605.533313 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1777864605.533315 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1777864605.533317 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1777864605.533319 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1777864605.533321 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1777864605.533323 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1777864605.533325 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1777864605.533327 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1777864605.533329 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1777864605.533331 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1777864605.533333 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1777864605.533335 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1777864605.533338 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1777864605.533340 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1777864605.533342 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1777864605.533344 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1777864605.533346 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1777864605.533348 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1777864605.533350 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1777864605.533352 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1777864605.533354 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1777864605.533357 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1777864605.533359 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1777864605.533361 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1777864605.533363 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1777864605.533365 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1777864605.533367 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1777864605.533369 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1777864605.533371 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1777864605.533373 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1777864605.533376 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1777864605.533380 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1777864605.533382 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1777864605.533392 yylex_token: end at WS
1777864605.533394 yylex_token: bind
1777864605.533397 yylex_token: end at WS
1777864605.533399 yylex_token: -N
1777864605.533402 yylex_token: end at WS
1777864605.533404 yylex_token: Send the prefix key
1777864605.533406 yylex_token: end at WS
1777864605.533407 yylex_token: C-b
1777864605.533410 yylex_token: end at WS
1777864605.533411 yylex_token: send-prefix
1777864605.533417 cmd_parse_build_commands 0:0: bind
1777864605.533422 cmd_parse_build_commands 0:1: -N
1777864605.533424 cmd_parse_build_commands 0:2: Send the prefix key
1777864605.533426 cmd_parse_build_commands 0:3: C-b
1777864605.533428 cmd_parse_build_commands 0:4 0:0: send-prefix
1777864605.533434 cmd_parse_build_commands 0:0: send-prefix
1777864605.533441 args_parse: flags end at 1 of 1
1777864605.533444 cmd_parse_build_commands: send-prefix
1777864605.533446 args_parse_flags: next -N
1777864605.533448 args_parse_flag_argument: -N = Send the prefix key
1777864605.533450 args_parse_flags: next C-b
1777864605.533452 args_parse: flags end at 3 of 5
1777864605.533454 args_parse: 3 = C-b (type STRING)
1777864605.533456 args_parse: 4 = send-prefix (type COMMANDS)
1777864605.533465 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1777864605.533470 cmdq_get_command: [bind-key/0x5a432de7a080] group 2
1777864605.533472 cmdq_append <global>: [bind-key/0x5a432de7a080]
1777864605.533475 yylex_token: end at WS
1777864605.533477 yylex_token: bind
1777864605.533479 yylex_token: end at WS
1777864605.533481 yylex_token: -N
1777864605.533483 yylex_token: end at WS
1777864605.533485 yylex_token: Rotate through the panes
1777864605.533487 yylex_token: end at WS
1777864605.533489 yylex_token: C-o
1777864605.533491 yylex_token: end at WS
1777864605.533493 yylex_token: rotate-window
1777864605.533496 cmd_parse_build_commands 0:0: bind
1777864605.533498 cmd_parse_build_commands 0:1: -N
1777864605.533500 cmd_parse_build_commands 0:2: Rotate through the panes
1777864605.533502 cmd_parse_build_commands 0:3: C-o
1777864605.533504 cmd_parse_build_commands 0:4 0:0: rotate-window
1777864605.533507 cmd_parse_build_commands 0:0: rotate-window
1777864605.533510 args_parse: flags end at 1 of 1
1777864605.533512 cmd_parse_build_commands: rotate-window
1777864605.533514 args_parse_flags: next -N
1777864605.533516 args_parse_flag_argument: -N = Rotate through the panes
1777864605.533518 args_parse_flags: next C-o
1777864605.533520 args_parse: flags end at 3 of 5
1777864605.533522 args_parse: 3 = C-o (type STRING)
1777864605.533524 args_parse: 4 = rotate-window (type COMMANDS)
1777864605.533529 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1777864605.533532 cmdq_get_command: [bind-key/0x5a432de7a6a0] group 10
1777864605.533534 cmdq_append <global>: [bind-key/0x5a432de7a6a0]
1777864605.533537 yylex_token: end at WS
1777864605.533538 yylex_token: bind
1777864605.533540 yylex_token: end at WS
1777864605.533541 yylex_token: -N
1777864605.533543 yylex_token: end at WS
1777864605.533544 yylex_token: Suspend the current client
1777864605.533545 yylex_token: end at WS
1777864605.533546 yylex_token: C-z
1777864605.533548 yylex_token: end at WS
1777864605.533549 yylex_token: suspend-client
1777864605.533551 cmd_parse_build_commands 0:0: bind
1777864605.533552 cmd_parse_build_commands 0:1: -N
1777864605.533554 cmd_parse_build_commands 0:2: Suspend the current client
1777864605.533555 cmd_parse_build_commands 0:3: C-z
1777864605.533556 cmd_parse_build_commands 0:4 0:0: suspend-client
1777864605.533558 cmd_parse_build_commands 0:0: suspend-client
1777864605.533561 args_parse: flags end at 1 of 1
1777864605.533562 cmd_parse_build_commands: suspend-client
1777864605.533563 args_parse_flags: next -N
1777864605.533565 args_parse_flag_argument: -N = Suspend the current client
1777864605.533566 args_parse_flags: next C-z
1777864605.533567 args_parse: flags end at 3 of 5
1777864605.533568 args_parse: 3 = C-z (type STRING)
1777864605.533570 args_parse: 4 = suspend-client (type COMMANDS)
1777864605.533573 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1777864605.533574 cmdq_get_command: [bind-key/0x5a432de7b7c0] group 18
1777864605.533576 cmdq_append <global>: [bind-key/0x5a432de7b7c0]
1777864605.533577 yylex_token: end at WS
1777864605.533579 yylex_token: bind
1777864605.533580 yylex_token: end at WS
1777864605.533581 yylex_token: -N
1777864605.533582 yylex_token: end at WS
1777864605.533584 yylex_token: Select next layout
1777864605.533587 yylex_token: end at WS
1777864605.533588 yylex_token: Space
1777864605.533589 yylex_token: end at WS
1777864605.533591 yylex_token: next-layout
1777864605.533592 cmd_parse_build_commands 0:0: bind
1777864605.533594 cmd_parse_build_commands 0:1: -N
1777864605.533595 cmd_parse_build_commands 0:2: Select next layout
1777864605.533596 cmd_parse_build_commands 0:3: Space
1777864605.533598 cmd_parse_build_commands 0:4 0:0: next-layout
1777864605.533599 cmd_parse_build_commands 0:0: next-layout
1777864605.533601 args_parse: flags end at 1 of 1
1777864605.533603 cmd_parse_build_commands: next-layout
1777864605.533604 args_parse_flags: next -N
1777864605.533605 args_parse_flag_argument: -N = Select next layout
1777864605.533607 args_parse_flags: next Space
1777864605.533608 args_parse: flags end at 3 of 5
1777864605.533609 args_parse: 3 = Space (type STRING)
1777864605.533610 args_parse: 4 = next-layout (type COMMANDS)
1777864605.533613 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1777864605.533615 cmdq_get_command: [bind-key/0x5a432de7beb0] group 26
1777864605.533616 cmdq_append <global>: [bind-key/0x5a432de7beb0]
1777864605.533618 yylex_token: end at WS
1777864605.533619 yylex_token: bind
1777864605.533620 yylex_token: end at WS
1777864605.533622 yylex_token: -N
1777864605.533623 yylex_token: end at WS
1777864605.533624 yylex_token: Break pane to a new window
1777864605.533626 yylex_token: end at WS
1777864605.533627 yylex_token: !
1777864605.533628 yylex_token: end at WS
1777864605.533629 yylex_token: break-pane
1777864605.533631 cmd_parse_build_commands 0:0: bind
1777864605.533632 cmd_parse_build_commands 0:1: -N
1777864605.533633 cmd_parse_build_commands 0:2: Break pane to a new window
1777864605.533635 cmd_parse_build_commands 0:3: !
1777864605.533636 cmd_parse_build_commands 0:4 0:0: break-pane
1777864605.533638 cmd_parse_build_commands 0:0: break-pane
1777864605.533639 args_parse: flags end at 1 of 1
1777864605.533641 cmd_parse_build_commands: break-pane
1777864605.533642 args_parse_flags: next -N
1777864605.533643 args_parse_flag_argument: -N = Break pane to a new window
1777864605.533644 args_parse_flags: next !
1777864605.533646 args_parse: flags end at 3 of 5
1777864605.533647 args_parse: 3 = ! (type STRING)
1777864605.533648 args_parse: 4 = break-pane (type COMMANDS)
1777864605.533651 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1777864605.533653 cmdq_get_command: [bind-key/0x5a432de7c580] group 34
1777864605.533654 cmdq_append <global>: [bind-key/0x5a432de7c580]
1777864605.533656 yylex_token: end at WS
1777864605.533657 yylex_token: bind
1777864605.533658 yylex_token: end at WS
1777864605.533659 yylex_token: -N
1777864605.533660 yylex_token: end at WS
1777864605.533662 yylex_token: Split window vertically
1777864605.533663 yylex_token: end at WS
1777864605.533664 yylex_token: "
1777864605.533665 yylex_token: end at WS
1777864605.533667 yylex_token: split-window
1777864605.533668 cmd_parse_build_commands 0:0: bind
1777864605.533669 cmd_parse_build_commands 0:1: -N
1777864605.533671 cmd_parse_build_commands 0:2: Split window vertically
1777864605.533672 cmd_parse_build_commands 0:3: "
1777864605.533673 cmd_parse_build_commands 0:4 0:0: split-window
1777864605.533675 cmd_parse_build_commands 0:0: split-window
1777864605.533677 args_parse: flags end at 1 of 1
1777864605.533679 cmd_parse_build_commands: split-window
1777864605.533680 args_parse_flags: next -N
1777864605.533681 args_parse_flag_argument: -N = Split window vertically
1777864605.533682 args_parse_flags: next "
1777864605.533684 args_parse: flags end at 3 of 5
1777864605.533685 args_parse: 3 = " (type STRING)
1777864605.533686 args_parse: 4 = split-window (type COMMANDS)
1777864605.533689 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1777864605.533691 cmdq_get_command: [bind-key/0x5a432de77e50] group 42
1777864605.533692 cmdq_append <global>: [bind-key/0x5a432de77e50]
1777864605.533694 yylex_token: end at WS
1777864605.533697 yylex_token: bind
1777864605.533698 yylex_token: end at WS
1777864605.533700 yylex_token: -N
1777864605.533701 yylex_token: end at WS
1777864605.533702 yylex_token: List all paste buffers
1777864605.533704 yylex_token: end at WS
1777864605.533705 yylex_token: #
1777864605.533706 yylex_token: end at WS
1777864605.533707 yylex_token: list-buffers
1777864605.533709 cmd_parse_build_commands 0:0: bind
1777864605.533710 cmd_parse_build_commands 0:1: -N
1777864605.533712 cmd_parse_build_commands 0:2: List all paste buffers
1777864605.533713 cmd_parse_build_commands 0:3: #
1777864605.533714 cmd_parse_build_commands 0:4 0:0: list-buffers
1777864605.533716 cmd_parse_build_commands 0:0: list-buffers
1777864605.533717 args_parse: flags end at 1 of 1
1777864605.533719 cmd_parse_build_commands: list-buffers
1777864605.533720 args_parse_flags: next -N
1777864605.533721 args_parse_flag_argument: -N = List all paste buffers
1777864605.533723 args_parse_flags: next #
1777864605.533724 args_parse: flags end at 3 of 5
1777864605.533725 args_parse: 3 = # (type STRING)
1777864605.533727 args_parse: 4 = list-buffers (type COMMANDS)
1777864605.533729 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1777864605.533731 cmdq_get_command: [bind-key/0x5a432de787c0] group 50
1777864605.533732 cmdq_append <global>: [bind-key/0x5a432de787c0]
1777864605.533734 yylex_token: end at WS
1777864605.533735 yylex_token: bind
1777864605.533736 yylex_token: end at WS
1777864605.533737 yylex_token: -N
1777864605.533739 yylex_token: end at WS
1777864605.533740 yylex_token: Rename current session
1777864605.533741 yylex_token: end at WS
